Grapheme	IPA	notes
a̯	a	non-syllabic a -> a
e̯	e̯	
i̯	i̯	
o̯	o̯	
u̯	u̯	
a	a	
b	b	
c	k	k (no c+front)
d	d	
e	e	
f	f	
g	ɡ	
h	h	
i	i	
j	ʒ	Romanian ʒ
l	l	
m	m	
n	n	
o	o	
p	p	
r	r	
s	s	
t	t	
u	u	
v	v	
z	z	
á	a	
é	e	
í	i	
ó	o	
ú	u	
ă	ə	schwa
č	t̠ʃ	
ľ	ʎ	palatal lateral
ń	ɲ	palatal nasal
ş	ʃ	ʃ (cedilla var)
ţ	ts	ts (cedilla var)
ǵ	ɟ	palatal ɟ
ș	ʃ	
ț	ts	
ḑ	dz	dz
ḱ	c	palatal c
ắ	ə	stressed schwa->ə
’	ʔ	
