Concepticon_ID,source_form_id,Value,Form,Segments,Comment,notes
,iecor_115-63-1,,,h ɔ ɾʲ,,IPA from Wiktionary (gd)
,iecor_115-187-1,,,ɲ iː,,IPA from Wiktionary (gd)
,iecor_115-119-1,,,t̪ʰ a rˠ i kʲ,,IPA from Wiktionary (gd)
,iecor_115-120-1,,,pʰ u h t̪,,IPA from Wiktionary (gd)
,iecor_115-177-1,,,t̠ʃʰ i l i kʲ,,IPA from Wiktionary (gd)
,iecor_115-25-1,,,kʰ ũː n̪ˠ t̪,,IPA from Wiktionary (gd)
,iecor_115-142-1,,,ʃ ɤ̃ ĩ ɲ,,IPA from Wiktionary (gd)
,iecor_115-118-1,,,kʰ l̪ˠ u ç,,IPA from Wiktionary (gd)
,iecor_115-60-1,,,rˠ ɔː,,IPA from Wiktionary (gd)
,iecor_115-164-1,,,ɡ̊ʲ ɾʲ iə n,,IPA from Wiktionary (gd)
,iecor_115-102-1,,,ɡ̊ʲ a l̪ˠ ə x,,IPA from Wiktionary (gd)
,iecor_115-188-1,,,ɯ ʃ kʲ ə,,IPA from Wiktionary (gd)
,iecor_115-125-1,,,ã v ɪ ɲ,,IPA from Wiktionary (gd)
,iecor_115-89-1,,,ɫ̪ ɔ x,,IPA from Wiktionary (gd)
,iecor_115-136-1,,,kʰ ua n,,IPA from Wiktionary (gd)
,iecor_115-161-1,,,kʰ l̪ˠ a x,,IPA from Wiktionary (gd)
,iecor_115-133-1,,,ɡ̊ ã n ã v h ə x,,IPA from Wiktionary (gd)
,iecor_115-22-1,,,s̪ k ɔː,,IPA from Wiktionary (gd)
,iecor_115-57-1,,,kʰʲ ɔː,,IPA from Wiktionary (gd)
,iecor_115-145-1,,,a a ɾ,,IPA from Wiktionary (gd)
,iecor_115-198-1,,,ɡ̊ ɯː,,IPA from Wiktionary (gd)
,iecor_115-83-1,,,d̥ʲ e ʝ,,IPA from Wiktionary (gd)
,iecor_115-149-1,,,kʰʲ ɔː,,IPA from Wiktionary (gd)
,iecor_115-50-1,,,tʲʰ ã n ə,,IPA from Wiktionary (gd)
,iecor_115-4-1,,,l̪ˠ uə ɾʲ ə,,IPA from Wiktionary (gd)
,iecor_115-20-1,,,ɫ̪ ɔ ʃ kʲ,,IPA from Wiktionary (gd)
,iecor_115-104-1,,,b̥ ẽĩ ɲ,,IPA from Wiktionary (gd)
,iecor_115-122-1,,,d̥ʲ a ɾ a k,,IPA from Wiktionary (gd)
,iecor_115-207-1,,,b̥ u j ə,,IPA from Wiktionary (gd)
,iecor_115-194-1,,,ɡ̊ʲ a l̪ˠ,,IPA from Wiktionary (gd)
,iecor_115-14-1,,,d̪̊ u h,,IPA from Wiktionary (gd)
,iecor_115-111-1,,,ɤ̃ ĩ ç ə,,IPA from Wiktionary (gd)
,iecor_115-27-1,,,l̪ˠ aː,,IPA from Wiktionary (gd)
,iecor_115-206-1,,,b̥ l iə n̪ˠ ə,,IPA from Wiktionary (gd)
,iecor_115-186-1,,,t̠ʃʰ e h,,IPA from Wiktionary (gd)
,iecor_115-23-1,,,f uə ɾ,,IPA from Wiktionary (gd)
,iecor_115-62-1,,,l̪ˠ aː n,,IPA from Wiktionary (gd)
,iecor_115-110-1,,,uː ɾ,,IPA from Wiktionary (gd)
,iecor_115-114-1,,,ʃ ɛ n,,IPA from Wiktionary (gd)
,iecor_115-7-1,,,d̪̊ ɔ n ə,,IPA from Wiktionary (gd)
,iecor_115-30-1,,,s a ɫ̪ ə x,,IPA from Wiktionary (gd)
,iecor_115-162-1,,,tʲ iː ɾʲ ə x,,IPA from Wiktionary (gd)
,iecor_115-130-1,,,kʰ r uɪ ɲ,,IPA from Wiktionary (gd)
,iecor_115-140-1,,,ɡ̊ʲ ia ɾ,,IPA from Wiktionary (gd)
,iecor_115-150-1,,,m iː n,,IPA from Wiktionary (gd)
,iecor_115-190-1,,,f l u x,,IPA from Wiktionary (gd)
,iecor_115-33-1,,,t̠ʃʰ i ɾ ə m,,IPA from Wiktionary (gd)
,iecor_115-124-1,,,d̥ʲ ɛ s̪,,IPA from Wiktionary (gd)
,iecor_115-108-1,,,f a ʃ c,,IPA from Wiktionary (gd)
,iecor_115-42-1,,,f a t̪ ə,,IPA from Wiktionary (gd)
,iecor_115-92-1,,,kʰ l iː,,IPA from Wiktionary (gd)
,iecor_115-160-2,,,m a tʲ ə,,IPA from Wiktionary (gd)
,iecor_115-38-1,,,i ç,,IPA from Wiktionary (gd)
,iecor_115-18-1,,,p ɾ ɔ ʎ ə x,,IPA from Wiktionary (gd)
,iecor_115-109-1,,,ã v ɪ ç,,IPA from Wiktionary (gd)
,iecor_115-159-1,,,rˠ eː ɫ̪,,IPA from Wiktionary (gd)
,iecor_115-181-1,,,kʰ ɾ ɯː v,,IPA from Wiktionary (gd)
,iecor_115-202-1,,,b̥ ɔ ð ə n̪ˠ ə x,,IPA from Wiktionary (gd)
,iecor_115-66-1,,,ɡ̊ ɔ r ɔ m,,IPA from Wiktionary (gd)
,iecor_115-37-1,,,uː ɾʲ,,IPA from Wiktionary (gd)
,iecor_115-61-1,,,m ĩ s,,IPA from Wiktionary (gd)
,iecor_115-208-1,,,ʃ ɲ ẽ ɣ a n,,IPA from Wiktionary (gd)
,iecor_115-215-1,,,ʃ a ɾ a v,,IPA from Wiktionary (gd)
,iecor_115-224-1,,,d̥ʲ ĩã n,,IPA from Wiktionary (gd)
,iecor_115-32-1,,,ɔː ɫ̪,,IPA from Wiktionary (gd)
,iecor_115-211-1,,,kʰ u l a k,,IPA from Wiktionary (gd)
,iecor_115-214-1,,,t̪ʰ ɤ j,,IPA from Wiktionary (gd)
,iecor_115-147-1,,,b̥ e k,,IPA from Wiktionary (gd)
,iecor_115-64-1,,,m ã h,,IPA from Wiktionary (gd)
,iecor_115-219-1,,,rˠ i h,,IPA from Wiktionary (gd)
,iecor_115-132-1,,,s̪ a l̪ˠ ə n̪ˠ,,IPA from Wiktionary (gd)
,iecor_115-144-1,,,kʰ ɾ a ʰk ə n̪ˠ,,IPA from Wiktionary (gd)
,iecor_115-216-1,,,kʰ ɾ uə j,,IPA from Wiktionary (gd)
,iecor_115-166-1,,,s n̪ˠ ãː v,,IPA from Wiktionary (gd)
,iecor_115-212-1,,,ə ɲ dʲ eː,,IPA from Wiktionary (gd)
,iecor_115-217-1,,,m i l ɪ ʃ,,IPA from Wiktionary (gd)
,iecor_115-106-1,,,ã n ã m,,IPA from Wiktionary (gd)
,iecor_115-184-1,,,s̪ c e h,,IPA from Wiktionary (gd)
,iecor_115-210-1,,,i m i l a k,,IPA from Wiktionary (gd)
,iecor_115-115-1,,,ɯ̃ː n,,IPA from Wiktionary (gd)
,iecor_115-183-1,,,d̪̊ aː,,IPA from Wiktionary (gd)
,iecor_115-178-1,,,kʲʰ ɛ̃ a l,,IPA from Wiktionary (gd)
,iecor_115-225-1,,,m e l,,IPA from Wiktionary (gd)
,iecor_115-221-1,,,ɡ̊ a,,IPA from Wiktionary (gd)
