Concepticon_ID,source_form_id,Value,Form,Segments,Comment,notes
,iecor_115-176-1,,,tʰ ɾ iː,,IPA from Wiktionary (gd)
,iecor_115-59-1,,,kʲʰ e h ɪ ɾʲ,,IPA from Wiktionary (gd)
,iecor_115-52-1,,,kʰ oː kʲ,,IPA from Wiktionary (gd)
,iecor_115-11-1,,,m oː r,,IPA from Wiktionary (gd)
,iecor_115-97-1,,,f a t̪ ə,,IPA from Wiktionary (gd)
,iecor_115-196-1,,,ʎ ɛ h i ɲ,,IPA from Wiktionary (gd)
,iecor_115-171-1,,,tʲʰ u,,IPA from Wiktionary (gd)
,iecor_115-74-1,,,t̪ʰ ɾ ɔ̃ ũ m,,IPA from Wiktionary (gd)
,iecor_115-141-1,,,ɡ̊ ɤ ɾʲ ɪ tʲ,,IPA from Wiktionary (gd)
,iecor_115-107-1,,,kʰ ũə k,,IPA from Wiktionary (gd)
,iecor_115-99-1,,,d̪̊ ɯ̃ ɲ ə,,IPA from Wiktionary (gd)
,iecor_115-51-1,,,iə s k,,IPA from Wiktionary (gd)
,iecor_115-12-1,,,ia n,,IPA from Wiktionary (gd)
,iecor_115-31-1,,,kʰ uː,,IPA from Wiktionary (gd)
,iecor_115-98-1,,,m iə l̪ˠ,,IPA from Wiktionary (gd)
,iecor_115-151-1,,,n̪ˠ ã h ə ð,,IPA from Wiktionary (gd)
,iecor_115-204-1,,,kʰ ɾ ũ j,,IPA from Wiktionary (gd)
,iecor_115-203-1,,,kʰ ɤ ʎ ə,,IPA from Wiktionary (gd)
,iecor_115-160-1,,,p a ʰt ə,,IPA from Wiktionary (gd)
,iecor_115-91-1,,,t ɯ ʎ a k,,IPA from Wiktionary (gd)
,iecor_115-127-1,,,f ɾʲ iə v,,IPA from Wiktionary (gd)
,iecor_115-8-1,,,rˠ uː s̪ k,,IPA from Wiktionary (gd)
,iecor_115-55-1,,,f l̪ˠ uː ɾ,,IPA from Wiktionary (gd)
,iecor_115-65-1,,,f ia ɾ,,IPA from Wiktionary (gd)
,iecor_115-101-1,,,f j ɔː l,,IPA from Wiktionary (gd)
,iecor_115-15-1,,,f u l,,IPA from Wiktionary (gd)
,iecor_115-17-1,,,kʰ ɾ ãː v,,IPA from Wiktionary (gd)
,iecor_115-39-1,,,u h,,IPA from Wiktionary (gd)
,iecor_115-78-1,,,ɤ ə ð kʲʰ,,IPA from Wiktionary (gd)
,iecor_115-167-1,,,ɯ ɾ ɯ p ə l̪ˠ,,IPA from Wiktionary (gd)
,iecor_115-46-1,,,i ʰtʲ ə,,IPA from Wiktionary (gd)
,iecor_115-68-1,,,f a l̪ˠ t̪,,IPA from Wiktionary (gd)
,iecor_115-71-1,,,kʲʰ ãũ n̪ˠ,,IPA from Wiktionary (gd)
,iecor_115-40-1,,,s̪ uː l,,IPA from Wiktionary (gd)
,iecor_115-112-1,,,s̪ t̪ ɾ ɔː n,,IPA from Wiktionary (gd)
,iecor_115-105-1,,,p ia ɫ̪,,IPA from Wiktionary (gd)
,iecor_115-179-1,,,tʲʰ ɛ̃ ɣ ə,,IPA from Wiktionary (gd)
,iecor_115-49-1,,,ĩː n ə,,IPA from Wiktionary (gd)
,iecor_115-58-1,,,kʰ a s,,IPA from Wiktionary (gd)
,iecor_115-93-1,,,kʰ a s,,IPA from Wiktionary (gd)
,iecor_115-69-1,,,l̪ˠ ãː v,,IPA from Wiktionary (gd)
,iecor_115-6-1,,,d̪̊ ɾ ɤ̃ ĩ m,,IPA from Wiktionary (gd)
,iecor_115-73-1,,,kʰ ɾʲ iə,,IPA from Wiktionary (gd)
,iecor_115-96-1,,,a a,,IPA from Wiktionary (gd)
,iecor_115-137-1,,,f ẽ ʰkʲ,,IPA from Wiktionary (gd)
,iecor_115-173-1,,,s̪ m ɯː ɲ ɪ ç,,IPA from Wiktionary (gd)
,iecor_115-45-1,,,e k ə l̪ˠ,,IPA from Wiktionary (gd)
,iecor_115-146-1,,,kʰ a t̪ ə l̪ˠ,,IPA from Wiktionary (gd)
,iecor_115-86-1,,,m a ɾ a v,,IPA from Wiktionary (gd)
,iecor_115-48-1,,,s a p a tʲ,,IPA from Wiktionary (gd)
,iecor_115-80-1,,,ʃ a l̪ˠ a k,,IPA from Wiktionary (gd)
,iecor_115-76-1,,,p uɪ l,,IPA from Wiktionary (gd)
,iecor_115-24-1,,,h i kʲ,,IPA from Wiktionary (gd)
,iecor_115-143-1,,,s̪ ɯ j,,IPA from Wiktionary (gd)
,iecor_115-158-1,,,ʃ e s̪ u,,IPA from Wiktionary (gd)
,iecor_115-41-1,,,t̪ u ʰtʲ,,IPA from Wiktionary (gd)
