Grapheme	IPA	notes
dh	ð	digraph
gj	ɟ	digraph
ll	ɫ	digraph (velarized l)
nj	ɲ	digraph
rr	r	trill (vs single r tap)
sh	ʃ	digraph
th	θ	digraph
xh	d̠ʒ	digraph
zh	ʒ	digraph
a	a
b	b
c	ts
ç	t̠ʃ
d	d
e	ɛ
ë	ə
f	f
g	ɡ
h	h
i	i
j	j
k	k
l	l
m	m
n	n
o	ɔ
p	p
q	c
r	ɾ	tap (vs rr trill)
s	s
t	t
u	u
v	v
x	dz
y	y
z	z
â	aː	circumflex = long
ê	ɛː	circumflex = long
î	iː	circumflex = long
û	uː	circumflex = long
ŷ	yː	circumflex = long
ã	ã	tilde = nasal
ẽ	ɛ̃	tilde = nasal
ĩ	ĩ	tilde = nasal
ũ	ũ	tilde = nasal
(		editorial paren — drop
)		editorial paren — drop
