Concepticon_ID,source_form_id,Value,Form,Segments,Comment,notes
,iecor_22-4-1,,,æ ʃ ɪ z,,hand RP (en)
,iecor_22-6-1,,,b æ k,,IPA borrowed from wold (concept+form)
,iecor_22-7-1,,,b æ d,,IPA borrowed from wold (concept+form)
,iecor_22-8-1,,,b ɑː k,,IPA borrowed from wold (concept+form)
,iecor_22-11-1,,,b ɪ g,,IPA borrowed from wold (concept+form)
,iecor_22-12-1,,,b ɜː d,,IPA borrowed from wold (concept+form)
,iecor_22-13-1,,,b aɪ t,,IPA borrowed from wold (concept+form)
,iecor_22-14-1,,,b l æ k,,IPA borrowed from wold (concept+form)
,iecor_22-15-1,,,b l ʌ d,,IPA borrowed from wold (concept+form)
,iecor_22-17-1,,,b əʊ n,,IPA borrowed from wold (concept+form)
,iecor_22-19-1,,,b r iː ð,,IPA borrowed from wold (concept+form)
,iecor_22-20-1,,,b ɜː n,,IPA borrowed from wold (form match)
,iecor_22-22-1,,,k l aʊ d,,IPA borrowed from wold (concept+form)
,iecor_22-23-1,,,k əʊ l d,,IPA borrowed from wold (concept+form)
,iecor_22-24-1,,,k ʌ m,,IPA borrowed from wold (concept+form)
,iecor_22-25-1,,,k aʊ n t,,IPA borrowed from wold (concept+form)
,iecor_22-27-1,,,d eɪ,,IPA borrowed from wold (concept+form)
,iecor_22-28-1,,,d aɪ,,IPA borrowed from wold (concept+form)
,iecor_22-29-1,,,d ɪ g,,IPA borrowed from wold (concept+form)
,iecor_22-30-1,,,d ɜː t ɪ,,IPA borrowed from wold (concept+form)
,iecor_22-31-1,,,d ɒ g,,IPA borrowed from wold (concept+form)
,iecor_22-32-1,,,d r ɪ ŋ k,,IPA borrowed from wold (concept+form)
,iecor_22-33-1,,,d r aɪ,,IPA borrowed from wold (concept+form)
,iecor_22-35-1,,,d ʌ s t,,IPA borrowed from wold (concept+form)
,iecor_22-36-1,,,ɪə ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-37-1,,,ɜː θ,,hand RP (en)
,iecor_22-38-1,,,iː t,,IPA borrowed from wold (concept+form)
,iecor_22-39-1,,,ɛ g,,IPA borrowed from wold (concept+form)
,iecor_22-40-1,,,aɪ,,IPA borrowed from wold (concept+form)
,iecor_22-41-1,,,f ɔː l,,IPA borrowed from wold (concept+form)
,iecor_22-42-1,,,f ɑː ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-45-1,,,b iː _ s k ɛə d,,hand RP (en)
,iecor_22-46-1,,,f ɛ ð ə ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-48-1,,,f aɪ t,,IPA borrowed from wold (concept+form)
,iecor_22-50-1,,,f aɪ ə ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-51-1,,,f ɪ ʃ,,IPA borrowed from wold (concept+form)
,iecor_22-52-1,,,f aɪ v,,IPA borrowed from wold (concept+form)
,iecor_22-55-1,,,f l aʊ ə ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-56-1,,,f l aɪ,,IPA borrowed from wold (concept+form)
,iecor_22-57-1,,,f ɒ g,,IPA borrowed from wold (concept+form)
,iecor_22-58-1,,,f ʊ t,,IPA borrowed from wold (concept+form)
