Concepticon_ID,source_form_id,Value,Form,Segments,Comment,notes
,iecor_22-59-1,,,f ɔː ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-60-1,,,f r iː z,,IPA borrowed from wold (concept+form)
,iecor_22-61-1,,,f r uː t,,IPA borrowed from wold (concept+form)
,iecor_22-63-1,,,g ɪ v,,IPA borrowed from wold (concept+form)
,iecor_22-64-1,,,g ʊ d,,IPA borrowed from wold (concept+form)
,iecor_22-65-1,,,g r ɑː s,,IPA borrowed from wold (concept+form)
,iecor_22-66-1,,,g r iː n,,IPA borrowed from wold (concept+form)
,iecor_22-68-1,,,h ɛə ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-69-1,,,h æ n d,,IPA borrowed from wold (concept+form)
,iecor_22-71-1,,,h ɛ d,,IPA borrowed from wold (concept+form)
,iecor_22-72-1,,,h ɪə ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-73-1,,,h ɑː t,,IPA borrowed from wold (concept+form)
,iecor_22-74-1,,,h ɛ v ɪ,,IPA borrowed from wold (concept+form)
,iecor_22-76-1,,,h ɪ t,,IPA borrowed from wold (form match)
,iecor_22-80-1,,,h ʌ n t,,IPA borrowed from wold (concept+form)
,iecor_22-83-1,,,aɪ s,,IPA borrowed from wold (concept+form)
,iecor_22-86-1,,,k ɪ l,,IPA borrowed from wold (concept+form)
,iecor_22-88-1,,,n əʊ,,IPA borrowed from wold (concept+form)
,iecor_22-89-1,,,l eɪ k,,IPA borrowed from wold (concept+form)
,iecor_22-90-1,,,l ɑː f,,IPA borrowed from wold (concept+form)
,iecor_22-91-1,,,l iː f,,IPA borrowed from wold (concept+form)
,iecor_22-92-1,,,l e f t,,IPA borrowed from northeuralex (concept+form)
,iecor_22-93-1,,,l ɛ g,,IPA borrowed from wold (concept+form)
,iecor_22-95-1,,,l ɪ v,,IPA borrowed from wold (form match)
,iecor_22-96-1,,,l ɪ v ə ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-97-1,,,l ɒ ŋ,,IPA borrowed from wold (concept+form)
,iecor_22-98-1,,,l aʊ s,,IPA borrowed from wold (form match)
,iecor_22-99-1,,,m æ n,,IPA borrowed from wold (concept+form)
,iecor_22-101-1,,,m iː t,,IPA borrowed from wold (concept+form)
,iecor_22-104-1,,,m aʊ n t ɪ n,,IPA borrowed from wold (form match)
,iecor_22-105-1,,,m aʊ θ,,IPA borrowed from wold (concept+form)
,iecor_22-106-1,,,n eɪ m,,IPA borrowed from wold (concept+form)
,iecor_22-107-1,,,n æ r əʊ,,IPA borrowed from wold (concept+form)
,iecor_22-108-1,,,n ɪə ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-109-1,,,n ɛ k,,IPA borrowed from wold (concept+form)
,iecor_22-110-1,,,n j uː,,IPA borrowed from wold (concept+form)
,iecor_22-111-1,,,n aɪ t,,IPA borrowed from wold (concept+form)
,iecor_22-112-1,,,n əʊ z,,IPA borrowed from wold (concept+form)
,iecor_22-114-1,,,əʊ l d,,IPA borrowed from wold (concept+form)
,iecor_22-115-1,,,w ʌ n,,IPA borrowed from wold (concept+form)
,iecor_22-118-1,,,p l eɪ,,IPA borrowed from wold (concept+form)
,iecor_22-119-1,,,p ʊ l,,IPA borrowed from wold (concept+form)
,iecor_22-120-1,,,p ʊ ʃ,,IPA borrowed from wold (concept+form)
,iecor_22-121-1,,,r eɪ n,,IPA borrowed from wold (form match)
,iecor_22-122-1,,,r ɛ d,,IPA borrowed from wold (concept+form)
,iecor_22-124-1,,,r aɪ t,,IPA borrowed from wold (concept+form)
,iecor_22-125-1,,,r ɪ v ə ɹ,,IPA borrowed from wold (form match)
,iecor_22-127-1,,,r uː t,,IPA borrowed from wold (concept+form)
,iecor_22-129-1,,,r ɒ t n̩,,IPA borrowed from wold (concept+form)
,iecor_22-132-1,,,s ɔː l t,,IPA borrowed from wold (concept+form)
,iecor_22-133-1,,,s æ n d,,IPA borrowed from wold (concept+form)
,iecor_22-134-1,,,s eɪ,,IPA borrowed from wold (concept+form)
,iecor_22-136-1,,,s iː,,IPA borrowed from wold (concept+form)
,iecor_22-137-1,,,s iː,,IPA borrowed from wold (concept+form)
,iecor_22-138-1,,,s iː d,,IPA borrowed from wold (concept+form)
,iecor_22-139-1,,,s əʊ,,IPA borrowed from wold (concept+form)
,iecor_22-140-1,,,ʃ ɑː p,,IPA borrowed from wold (concept+form)
,iecor_22-141-1,,,ʃ ɔː t,,IPA borrowed from wold (concept+form)
,iecor_22-142-1,,,s ɪ ŋ,,IPA borrowed from wold (concept+form)
,iecor_22-143-1,,,s ɪ t,,IPA borrowed from wold (concept+form)
,iecor_22-144-1,,,s k ɪ n,,IPA borrowed from wold (concept+form)
,iecor_22-145-1,,,s k aɪ,,IPA borrowed from wold (concept+form)
,iecor_22-146-1,,,s l iː p,,IPA borrowed from wold (concept+form)
,iecor_22-147-1,,,s m ɔː l,,IPA borrowed from wold (concept+form)
,iecor_22-148-1,,,s m ɛ l,,IPA borrowed from wold (concept+form)
,iecor_22-149-1,,,s m əʊ k,,IPA borrowed from wold (concept+form)
,iecor_22-150-1,,,s m uː ð,,IPA borrowed from wold (concept+form)
,iecor_22-151-1,,,s n eɪ k,,IPA borrowed from wold (concept+form)
,iecor_22-152-1,,,s n əʊ,,IPA borrowed from wold (concept+form)
,iecor_22-158-1,,,s t æ n d,,IPA borrowed from wold (concept+form)
,iecor_22-159-1,,,s t ɑː ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-160-1,,,s t ɪ k,,IPA borrowed from wold (form match)
,iecor_22-161-1,,,s t əʊ n,,IPA borrowed from wold (form match)
,iecor_22-162-1,,,s t r eɪ t,,IPA borrowed from wold (concept+form)
,iecor_22-164-1,,,s ʌ n,,IPA borrowed from wold (concept+form)
,iecor_22-165-1,,,s w ɛ l,,hand RP (en)
,iecor_22-166-1,,,s w ɪ m,,IPA borrowed from wold (concept+form)
,iecor_22-167-1,,,t eɪ l,,IPA borrowed from wold (concept+form)
,iecor_22-171-1,,,θ ɪ k,,IPA borrowed from wold (concept+form)
,iecor_22-173-1,,,θ ɪ ŋ k,,IPA borrowed from wold (concept+form)
,iecor_22-176-1,,,θ r iː,,IPA borrowed from wold (concept+form)
,iecor_22-177-1,,,θ r əʊ,,IPA borrowed from wold (concept+form)
,iecor_22-178-1,,,t aɪ,,IPA borrowed from wold (concept+form)
,iecor_22-179-1,,,t ʌ ŋ,,IPA borrowed from wold (concept+form)
,iecor_22-180-1,,,t uː θ,,IPA borrowed from wold (concept+form)
,iecor_22-181-1,,,t r iː,,IPA borrowed from wold (concept+form)
,iecor_22-182-1,,,t ɜː n,,IPA borrowed from wold (form match)
,iecor_22-183-1,,,t uː,,IPA borrowed from wold (concept+form)
,iecor_22-187-1,,,w ɒ ʃ,,IPA borrowed from wold (concept+form)
,iecor_22-188-1,,,w ɔː t ə ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-190-1,,,w e t,,IPA borrowed from northeuralex (concept+form)
,iecor_22-194-1,,,w aɪ t,,IPA borrowed from wold (concept+form)
,iecor_22-196-1,,,w aɪ d,,IPA borrowed from wold (concept+form)
,iecor_22-198-1,,,w aɪ n d,,IPA borrowed from wold (concept+form)
,iecor_22-199-1,,,w ɪ ŋ,,IPA borrowed from wold (concept+form)
,iecor_22-202-1,,,w ʊ m ə n,,IPA borrowed from wold (concept+form)
,iecor_22-203-1,,,w ʊ d z,,hand RP (en)
,iecor_22-204-1,,,w ɜː m,,IPA borrowed from wold (concept+form)
,iecor_22-206-1,,,j ɪə ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-207-1,,,j ɛ l əʊ,,IPA borrowed from wold (concept+form)
,iecor_22-130-1,,,r aʊ n d,,IPA borrowed from wold (concept+form)
,iecor_22-87-1,,,n iː,,IPA borrowed from wold (concept+form)
,iecor_22-49-1,,,n eɪ l,,IPA borrowed from wold (form match)
,iecor_22-102-1,,,m uː n,,IPA borrowed from wold (concept+form)
,iecor_22-62-1,,,f ʊ l,,IPA borrowed from wold (concept+form)
,iecor_22-78-1,,,h ɔː n,,IPA borrowed from wold (concept+form)
,iecor_22-18-1,,,tʃ ɛ s t,,IPA borrowed from wold (concept+form)
,iecor_22-212-1,,,j ɛ s t ə d ɪ,,IPA borrowed from wold (concept+form)
,iecor_22-208-1,,,æ n t,,IPA borrowed from wold (concept+form)
,iecor_22-209-1,,,θ aɪ,,IPA borrowed from wold (form match)
,iecor_22-210-1,,,b ɛ l i _ b ʌ t ə n,,hand RP (en)
,iecor_22-211-1,,,f l aɪ,,IPA borrowed from wold (concept+form)
,iecor_22-213-1,,,ʃ æ d əʊ,,IPA borrowed from wold (form match)
,iecor_22-214-1,,,h aʊ z,,IPA borrowed from wold (concept+form)
,iecor_22-215-1,,,b ɪ t ə ɹ,,IPA borrowed from wold (concept+form)
,iecor_22-216-1,,,h ɑː d,,IPA borrowed from wold (concept+form)
,iecor_22-217-1,,,s w iː t,,IPA borrowed from wold (concept+form)
,iecor_22-218-1,,,g əʊ,,IPA borrowed from wold (concept+form)
,iecor_22-219-1,,,r ʌ n,,IPA borrowed from wold (concept+form)
,iecor_22-220-1,,,k æ r ɪ,,IPA borrowed from wold (concept+form)
,iecor_22-221-1,,,t eɪ k,,IPA borrowed from wold (concept+form)
,iecor_22-222-1,,,h aɪ d,,IPA borrowed from wold (concept+form)
,iecor_22-223-1,,,k r aɪ,,IPA borrowed from wold (concept+form)
,iecor_22-225-1,,,g r aɪ n d,,IPA borrowed from wold (concept+form)
,iecor_22-226-1,,,k l ɔː,,IPA borrowed from wold (concept+form)
,iecor_22-224-1,,,d uː,,IPA borrowed from wold (concept+form)
,iecor_22-186-1,,,h ɒ t,,IPA borrowed from wold (concept+form)
,iecor_22-10-1,,,s t ʌ m ə k,,IPA borrowed from wold (form match)
,iecor_22-184-1,,,b iː _ s ɪ k,,hand RP (en)
