Grapheme	IPA	notes
(		
)		
*		
-		
a	a	
b	b	
d	d	
e	e	
f	f	
g	ɡ	
i	i	
k	k	
l	l	
m	m	
n	n	
o	o	
p	p	
r	r	
s	s	
t	t	
u	u	
v	w	
z	ts	
í	iː	long/close (FLAG)
ú	oː	→oː (FLAG)
c	k	/k/
