NAME,URL,CoreCog,CORE
satterthwaitetb,https://github.com/lexibank/satterthwaitetb,,
savelyevturkic,https://github.com/lexibank/savelyevturkic,TRUE,TRUE
sawkatokaleya,https://github.com/lexibank/sawkatokaleya,,
seifartecheverriboran,https://github.com/lexibank/seifartecheverriboran,,
servamalagasy,https://github.com/digling/servamalagasy,,
sidwellbahnaric,https://github.com/lexibank/sidwellbahnaric,TRUE,
sidwellvietic,https://github.com/lexibank/sidwellvietic,TRUE,
simsrma,https://github.com/lexibank/simsrma,TRUE,
smithborneo,https://github.com/lexibank/smithborneo,TRUE,
sohartmannchin,https://github.com/lexibank/sohartmannchin,,
starostinaltaic,https://github.com/lexibank/starostinaltaic,,
starostinhmongmien,https://github.com/lexibank/starostinhmongmien,,
starostinkaren,https://github.com/lexibank/starostinkaren,,
starostinpie,https://github.com/sequencecomparison/starostinpie,,
starostintujia,https://github.com/lexibank/starostintujia,TRUE,
streitberggothic,https://github.com/lexibank/streitberggothic,,
suntb,https://github.com/lexibank/suntb,,
syrjaenenuralic,https://github.com/lexibank/syrjaenenuralic,TRUE,
tls,https://github.com/lexibank/tls,,
tolmiebritishcolumbia,https://github.com/lexibank/tolmiebritishcolumbia,,
transnewguineaorg,https://github.com/lexibank/transnewguineaorg,,
triangulation,https://github.com/digling/triangulation,,
tryonsolomon,https://github.com/lexibank/tryonsolomon,,
tuled,https://github.com/tupian-language-resources/tuled,TRUE,TRUE
utoaztecan,https://github.com/lexibank/utoaztecan,TRUE,TRUE
vanuatuvoices,https://github.com/lexibank/vanuatuvoices,,
visserkalamang,https://github.com/intercontinental-dictionary-series/visserkalamang,,
walkerarawakan,https://github.com/lexibank/walkerarawakan,,
walworthpolynesian,https://github.com/lexibank/walworthpolynesian,TRUE,TRUE
wangbai,https://github.com/lexibank/wangbai,,
wangbcd,https://github.com/lexibank/wangbcd,,
wheelerutoaztecan,https://github.com/lexibank/wheelerutoaztecan,,
wichmannmixezoquean,https://github.com/lexibank/wichmannmixezoquean,TRUE,
wold,https://github.com/lexibank/wold,,
yamfinder,https://github.com/lexibank/yamfinder,TRUE,
yanglalo,https://github.com/lexibank/yanglalo,TRUE,
yangyi,https://github.com/lexibank/yangyi,,
yuchinese,https://github.com/intercontinental-dictionary-series/yuchinese,,
zgraggenmadang,https://github.com/lexibank/zgraggenmadang,,
zhangrgyalrong,https://github.com/lexibank/zhangrgyalrong,TRUE,
zhangst,https://github.com/lexibank/zhangst,,
zhaobai,https://github.com/lexibank/zhaobai,,
zhivlovobugrian,https://github.com/sequencecomparison/zhivlovobugrian,TRUE,
zhoubizic,https://github.com/lexibank/zhoubizic,,
