Grapheme	IPA	notes
ce	ts e	
ch	t̠ʃ	
ci	ts i	
cé	ts e	
cë	ts ə	
cï	ts i	
ge	d̠ʒ e	
gi	d̠ʒ i	
gn	ɲ	
gé	d̠ʒ e	
gë	d̠ʒ ə	
gï	d̠ʒ i	
a	a	
b	b	
c	k	
d	d	
e	e	
f	f	
g	ɡ	
h	h	
i	i	
j	d̠ʒ	
l	l	
m	m	
n	n	
o	o	
p	p	
q	k	
r	r	
s	s	
t	t	
u	y	→y (OFr, FLAG)
v	v	
z	ts	ts
é	e	
ë	ə	
ï	i	
≠		
