Grapheme	IPA	notes
sce	ʃ e	
sci	ʃ i	
scè	ʃ ɛ	
scé	ʃ e	
scì	ʃ i	
ce	t̠ʃ e	
ch	k	k (blocks softening / word-final)
ci	t̠ʃ i	
cè	t̠ʃ ɛ	
cé	t̠ʃ e	
cì	t̠ʃ i	
ge	d̠ʒ e	
gh	ɡ	
gi	d̠ʒ i	
gn	ɲ	ɲ
gè	d̠ʒ ɛ	
gé	d̠ʒ e	
gì	d̠ʒ i	
qu	k w	kw
-	+	s-c boundary
S	s	s
a	a	
b	b	
c	k	
d	d	
e	e	
f	f	
g	ɡ	
h	h	
i	i	
l	l	
m	m	
n	n	
p	p	
r	r	
s	s	
t	t	
u	u	
v	v	
à	a	
á	a	
ã	ã	nasal
è	ɛ	open e
é	e	
ì	i	
ò	ɔ	open o
ó	o	
ö	ø	front rounded
ù	u	
ü	y	front rounded
ũ	ũ	nasal
≠		
