av_id,glottocode,iso639p3,name,parent_av_id,family,macroarea,latitude,longitude,in_glottolog,notes
aav-mon,monn1252,mnw,Mon,,Austroasiatic,Eurasia,15.49394,98.122465,true,
aav-muak,tail1246,tlq,Muak,,Austroasiatic,Eurasia,21.4293,100.985,true,
aav-mundari,mund1320,unr,Mundari,,Austroasiatic,Eurasia,23.03,85.85,true,
aav-muong,muon1246,mtq,Muong,,Austroasiatic,Eurasia,20.7374,105.186,true,
aav-nancowry,nanc1247,,Nancowry,,Austroasiatic,Eurasia,7.94812,93.3921,true,
aav-nguon,nguo1239,nuo,Nguôn,,Austroasiatic,Eurasia,17.7243,105.932,true,
aav-nicobaric,nico1262,,Nicobaric,,Austroasiatic,,,,false,
aav-north-aslian,nort2682,,North Aslian,,Austroasiatic,,,,false,
aav-northern-khmer,nort2684,kxm,Northern Khmer,,Austroasiatic,Eurasia,14.4674,103.863,true,
aav-northern-vietnamese,nort2683,,Northern Vietnamese,,Austroasiatic,Eurasia,20.681188,105.774071,true,
aav-nyaheun,nyah1249,nev,Nyaheun,,Austroasiatic,Eurasia,15.1034,106.543,true,
aav-nyahkur,nyah1250,cbn,Nyahkur,,Austroasiatic,Eurasia,15.8909,101.515,true,
aav-nyeu,nyeu1238,nyl,Nyeu,,Austroasiatic,Eurasia,14.8817,104.33,true,
aav-o-du,oduu1239,tyh,O'du,,Austroasiatic,Eurasia,19.3497,104.106,true,
aav-old-mon,oldm1242,omx,Old Mon,,Austroasiatic,Eurasia,14.83,100.5,true,
aav-ong-ir,ongg1239,oog,Ong-Ir,,Austroasiatic,Eurasia,15.1225,106.001,true,
aav-oy,oyyy1238,oyb,Oy,,Austroasiatic,Eurasia,15.42,106.658,true,
aav-pacoh,paco1243,pac,Pacoh,,Austroasiatic,Eurasia,16.3353,107.094,true,
aav-palaung,pala1336,,Palaung,,Austroasiatic,,,,false,
aav-pear,pear1247,pcb,Pear,,Austroasiatic,Eurasia,13.593,105.028,true,
aav-phong,phon1243,,Phong,,Austroasiatic,Eurasia,18.60928,104.92259,true,
aav-phong-kniang,phon1246,pnx,Phong-Kniang,,Austroasiatic,Eurasia,19.9622,104.088,true,
aav-phuong,phuo1238,phg,Phuong,,Austroasiatic,Eurasia,16.2118,107.467,true,
aav-pnar,pnar1238,pbv,Pnar,,Austroasiatic,Eurasia,24.8237,92.2628,true,
aav-prai,phai1238,prt,Prai,,Austroasiatic,Eurasia,19.0383,101.218,true,
aav-raojin,raoj1238,,Raojin,,Austroasiatic,Eurasia,21.6176,98.0915,true,
aav-rengao,reng1252,ren,Rengao,,Austroasiatic,Eurasia,14.456,107.9459,true,
aav-riang-myanmar,rian1261,ril,Riang (Myanmar),,Austroasiatic,Eurasia,24.0521,98.8333,true,
aav-romam,roma1331,rmx,Romam,,Austroasiatic,Eurasia,14.34,107.447,true,
aav-ruc,rucc1239,,Ruc,,Austroasiatic,Eurasia,17.68293,105.7841,true,
aav-ruching-palaung,ruch1235,pce,Ruching Palaung,,Austroasiatic,Eurasia,21.6176,98.0915,true,
aav-rumai-palaung,ruma1248,rbb,Rumai Palaung,,Austroasiatic,Eurasia,23.6404,97.3172,true,
aav-sa-och,saoc1239,scq,Sa'och,,Austroasiatic,Eurasia,10.8739,103.835,true,
aav-sabum,sabu1253,sbo,Sabüm,,Austroasiatic,Eurasia,5.34694,101.065,true,
aav-sach,sach1240,,Sach,,Austroasiatic,Eurasia,17.6819,105.773,true,
aav-samtao,samt1238,stu,Samtao,,Austroasiatic,Eurasia,22.0185,99.2576,true,
aav-santali,sant1410,sat,Santali,,Austroasiatic,Eurasia,25.0317,87.8185,true,
aav-sapuan,sapu1248,spu,Sapuan,,Austroasiatic,Eurasia,15.3692,106.843,true,
aav-sedang,seda1262,sed,Sedang,,Austroasiatic,Eurasia,14.7793,108.027,true,
aav-semai,sema1266,sea,Semai,,Austroasiatic,Eurasia,4.13257,101.477,true,
aav-semaq-beri,sema1265,szc,Semaq Beri,,Austroasiatic,Eurasia,4.1217,102.816,true,
aav-semelai,seme1247,sza,Semelai,,Austroasiatic,Eurasia,2.82799,102.806,true,
aav-semnam,semn1250,ssm,Semnam,,Austroasiatic,Eurasia,5.27617,101.058,true,
aav-senoic,seno1278,,Senoic,,Austroasiatic,,,,false,
aav-shwe-palaung,shwe1236,pll,Shwe Palaung,,Austroasiatic,Eurasia,23.6729,97.7972,true,
aav-so,sooo1254,sss,Sô,,Austroasiatic,Eurasia,16.9081,105.001,true,
aav-somray-of-battambang-somre-of-siem-reap,somr1240,smu,Somray of Battambang-Somre of Siem Reap,,Austroasiatic,Eurasia,12.243,103.139,true,
aav-son,sonn1238,,Son,,Austroasiatic,Eurasia,23.1024,99.108,true,
aav-sora,sora1254,srb,Sora,,Austroasiatic,Eurasia,19.1213,84.19,true,
