av_id,glottocode,iso639p3,name,parent_av_id,family,macroarea,latitude,longitude,in_glottolog,notes
afa-gyeta,gyet1241,,Gyeta,,Afro-Asiatic,Africa,7.94883,37.7968,true,
afa-hadiyya,hadi1240,hdy,Hadiyya,,Afro-Asiatic,Africa,7.57377,37.7577,true,
afa-hadrami,hadr1235,xhd,Hadrami,,Afro-Asiatic,Eurasia,15.528,47.603,true,
afa-hadrami-arabic,hadr1236,ayh,Hadrami Arabic,,Afro-Asiatic,Eurasia,15.4468,48.6524,true,
afa-harari,hara1271,har,Harari,,Afro-Asiatic,Africa,9.30485,42.1332,true,
afa-harsusi,hars1241,hss,Harsusi,,Afro-Asiatic,Eurasia,19.6511,56.1562,true,
afa-hassaniyya,hass1238,mey,Hassaniyya,,Afro-Asiatic,Africa,18.29,-14.11,true,
afa-hausa,haus1257,hau,Hausa,,Afro-Asiatic,Africa,11.1513,8.7804,true,
afa-hdi,hdii1240,xed,Hdi,,Afro-Asiatic,Africa,10.942,13.6881,true,
afa-herde,herd1236,hed,Herde,,Afro-Asiatic,Africa,9.14343,14.9267,true,
afa-hertevin,hert1241,hrt,Hertevin,,Afro-Asiatic,Eurasia,37.373,42.5192,true,
afa-hijazi-arabic,hija1235,acw,Hijazi Arabic,,Afro-Asiatic,Eurasia,22.8346,38.9237,true,
afa-hobyot,hoby1242,hoh,Hobyót,,Afro-Asiatic,Eurasia,17.216,52.8334,true,
afa-huba,huba1236,hbb,Huba,,Afro-Asiatic,Africa,10.3544,13.139,true,
afa-hulaula,hula1244,huy,Hulaulá,,Afro-Asiatic,Eurasia,31.9111,43.4865,true,
afa-hwana,hwan1240,hwo,Hwana,,Afro-Asiatic,Africa,10.3633,12.7683,true,
afa-hya,hyaa1239,hya,Hya,,Afro-Asiatic,Africa,10.4814,13.526,true,
afa-imperial-aramaic-700-300-bce,impe1235,arc,Imperial Aramaic (700-300 BCE),,Afro-Asiatic,Eurasia,33.905,42.185,true,
afa-inor,inor1240,,Inor,,Afro-Asiatic,Africa,7.94883,37.7968,true,
afa-inoric,inor1238,ior,Inoric,,Afro-Asiatic,Africa,7.94883,37.7968,true,
afa-iraqw,iraq1241,irk,Iraqw,,Afro-Asiatic,Africa,-4.19948,35.2939,true,
afa-jewish-babylonian-aramaic-ca-200-1200-ce,jewi1240,tmr,Jewish Babylonian Aramaic (ca. 200-1200 CE),,Afro-Asiatic,Eurasia,32.273,44.245,true,
afa-jewish-palestinian-aramaic,pale1261,jpa,Jewish Palestinian Aramaic,,Afro-Asiatic,Eurasia,32.276389,35.195,true,
afa-jibbali,sheh1240,shv,Jibbali,,Afro-Asiatic,Eurasia,17.29154,53.99526,true,
afa-jimi-nigeria,jimi1255,jmi,Jimi (Nigeria),,Afro-Asiatic,Africa,10.7299,9.8118,true,
afa-jina,jina1244,jia,Jina,,Afro-Asiatic,Africa,11.3555,14.9611,true,
afa-ju,juuu1243,juu,Ju,,Afro-Asiatic,Africa,10.1845,9.81175,true,
afa-judeo-iraqi-arabic,jude1266,yhd,Judeo-Iraqi Arabic,,Afro-Asiatic,Eurasia,31.5339,41.2595,true,
afa-judeo-moroccan-arabic,jude1265,aju,Judeo-Moroccan Arabic,,Afro-Asiatic,Africa,33.5,-7.5,true,
afa-judeo-tripolitanian-arabic,jude1264,yud,Judeo-Tripolitanian Arabic,,Afro-Asiatic,Eurasia,31.9567,34.7422,true,
