family,code
Tanahmerah,tae
Tangkic,taa
Tarascan,tar
Taruma,taf
Tauade,tau
Taulil-Butam,tag
Taushiro,tah
Teberan,teb
Tegem,teg
Temeinic,tem
Tequistlatecan,teq
Ticuna-Yuri,tic
Timor-Alor-Pantar,tim
Timucua,tia
Tinigua,tin
Tiwi,tiw
Tonkawa,ton
Tor-Orya,tor
Totonacan,tot
Touo,tou
Trumai,tru
Tsimshian,tsi
Tucanoan,tuc
Tungusic,tun
Tunica,tua
Tupian,tup
Turama-Kikori,tur
Turkic,trk
Tuu,tuu
Unattested,una
Unclassifiable,unc
Uralic,urj
Urarina,ura
Uru-Chipaya,uru
Usku,usk
Uto-Aztecan,uto
Vilela,vil
Wadjiginy,wad
Wageman,wag
Wakashan,wak
Walioic,wal
Waorani,wao
Warao,war
Washo,was
West Bird's Head,wea
West Bomberai,web
Western Daly,wes
Western Tasmanian,wec
Wintuan,win
Wiru,wir
Worrorran,wor
Xincan,xin
Yale,yal
Yam,yam
Yana,yac
Yangmanic,yaa
Yanomamic,yan
Yareban,yar
Yawa-Saweru,yaw
Yele,yel
Yeniseian,yen
Yerakai,yer
Yetfa,yet
Yokutsan,yok
Yuat,yua
Yuchi,yuc
Yukaghir,yuk
Yuki-Wappo,yub
Yuracaré,yur
Yámana,yab
Zamucoan,zam
Zaparoan,zap
Zuni,zun
