av_id,transcription_source,cognate_source,locked_at,notes
ine-east-latvian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-eastern-armenian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.88/0.70)
ine-eastern-kataviri,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.88/0.70)
ine-eastern-pahari,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.86/0.70)
ine-eastern-panjabi,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-elfdalian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.78/0.70)
ine-english,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-faroese,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.86/0.70)
ine-fars-dialects,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-francoprovencalic,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-french,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.89/0.70)
ine-friulian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-gawar-bati,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.88/0.70)
ine-gawri,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.87/0.70)
ine-german,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.89/0.70)
ine-gheg-albanian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-gothic,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.86/0.70)
ine-hawraman-i-taxt,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-hindi,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.86/0.70)
ine-hittite,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.37/0.70)
ine-icelandic,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.87/0.70)
ine-ionic-attic-ancient-greek,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.71/0.70)
ine-irish,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.87/0.70)
ine-iron-ossetian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-italian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-kamviri,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.86/0.70)
ine-kashmiri,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-kashubian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.89/0.70)
ine-khotanese,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.88/0.70)
ine-khowar,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-khwarezmian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.40/0.70)
ine-koineic-greek,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-kumzari,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.87/0.70)
ine-ladin,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-larestani,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.61/0.70)
ine-late-cornish,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.42/0.70); language=iecor_230
ine-latin,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-latvian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-lithuanian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-lower-carniola,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.86/0.70)
ine-lower-prasun,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.87/0.70)
ine-lower-sorbian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-macedonian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70); language=iecor_92
ine-macedonian-suho,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70); language=iecor_254
ine-macedonian-visoka,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70); language=iecor_253
ine-magahi,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.89/0.70)
ine-maithili,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.87/0.70)
ine-manx,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-marathi,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-mazanderani,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-megleno-romanian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-middle-breton,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-middle-cornish,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.42/0.70); language=iecor_231
ine-middle-dutch,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-middle-high-german,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-middle-welsh,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-milanese,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-modern-greek,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-moselle-franconian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-northern-kurdish,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.66/0.70)
ine-northern-welsh,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-northwest-pashayi,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-norwegian-bokmal,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.84/0.70)
ine-norwegian-nynorsk,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-old-breton,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.32/0.70)
ine-old-catalan,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-old-czech,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.88/0.70); language=iecor_243
ine-old-english-ca-450-1100,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.88/0.70)
ine-old-french-842-ca-1400,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-old-frisian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.85/0.70)
ine-old-high-german-ca-750-1050,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-old-norse,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-old-persian-ca-600-400-b-c,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.48/0.70)
ine-old-polish,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.89/0.70); language=iecor_238
ine-old-provencal,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-old-prussian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.35/0.70)
ine-old-russian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.84/0.70)
ine-old-saxon,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.89/0.70)
ine-old-spanish,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-old-swedish,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.87/0.70); language=iecor_157
ine-old-welsh,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.80/0.70)
ine-oscan,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.26/0.70)
ine-pahlavi,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-pali,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-parthian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.87/0.70)
ine-polabian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-polish,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.89/0.70); language=iecor_55
ine-pontic,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-portuguese,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-romanian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.88/0.70)
ine-russian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-rusyn,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-sarikoli,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-scottish-gaelic,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-sinhala,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.64/0.70)
ine-slovak,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.89/0.70)
ine-slovenian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.58/0.70); language=iecor_97
ine-sogdian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.62/0.70)
ine-southern-kurdish-elami,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.42/0.70); language=iecor_285
ine-southern-kurdish-qorveh,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.42/0.70); language=iecor_308
ine-southwestern-logudorese,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-spanish,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
