Language_ID,Glottocode,Notes
starostinaltaic_gagauz,gaga1249,auto:exact_name (Gagauz)
starostinaltaic_jurchen,jurc1239,auto:exact_name (Jurchen)
starostinaltaic_karaim,kara1464,auto:exact_name (Karaim)
starostinaltaic_kirghiz,kirg1245,auto:exact_name (Kirghiz)
starostinaltaic_manchu,manc1252,auto:exact_name (Manchu)
starostinaltaic_nanai,nana1257,auto:exact_name (Nanai)
starostinaltaic_negidal,negi1245,auto:exact_name (Negidal)
starostinaltaic_oldjapanese,oldj1239,auto:exact_name (Old Japanese)
starostinaltaic_orok,orok1265,auto:exact_name (Orok)
starostinaltaic_salar,sala1264,auto:exact_name (Salar)
starostinaltaic_tatar,tata1255,auto:exact_name (Tatar)
starostinaltaic_turkish,nucl1301,auto:exact_name (Turkish)
starostinaltaic_turkmen,turk1304,auto:exact_name (Turkmen)
starostinaltaic_uighur,uigh1240,auto:exact_name (Uighur)
suntb_AmdoTibetanBlabrang,tibe1272,auto:base_name (Tibetan (Amdo:Bla-brang) -> Tibetan)
suntb_AmdoTibetanZeku,tibe1272,auto:base_name (Tibetan (Amdo:Zeku) -> Tibetan)
wikt_ae,aves1237,auto:exact_name (Avestan)
wikt_alv-gwa,gwar1240,auto:exact_name (Gwara)
wikt_aus-bra,barr1252,auto:exact_name (Barranbinya)
wikt_aus-guw,guwa1244,auto:exact_name (Guwar)
wikt_aus-wul,wulg1239,auto:exact_name (Wulguru)
wikt_aus-ynk,nyan1300,auto:exact_name (Yangkaal)
wikt_awd-ana,anau1243,auto:exact_name (Anauyá)
wikt_awd-gnu,guin1258,auto:exact_name (Guinau)
wikt_awd-kus,kust1238,auto:exact_name (Kustenau)
wikt_bh,bhoj1244,auto:exact_name (Bhojpuri)
wikt_bij,kwan1285,auto:exact_name (Kwang)
wikt_bnt-cmw,chim1312,auto:exact_name (Chimwiini)
wikt_bnt-lal,lala1268,auto:base_name (Lala (South Africa) -> base)
wikt_bnt-phu,phut1246,auto:exact_name (Phuthi)
wikt_crp-rsn,russ1267,auto:exact_name (Russenorsk)
wikt_crp-spp,samo1307,auto:exact_name (Samoan Plantation Pidgin)
wikt_dmn-dam,dama1262,auto:exact_name (Dama (Sierra Leone))
wikt_dnj,dann1241,auto:exact_name (Dan)
wikt_doi,dogr1250,auto:exact_name (Dogri)
wikt_dra-okn,oldk1250,auto:exact_name (Old Kannada)
wikt_dwu,dhuw1249,auto:exact_name (Dhuwal)
wikt_el-cy,cypr1249,auto:exact_name (Cypriot Greek)
wikt_el-cyp,cypr1249,auto:exact_name (Cypriot Greek)
wikt_et,esto1258,auto:exact_name (Estonian)
wikt_fa,dari1249,auto:exact_name (Dari)
wikt_gme-cgo,crim1255,auto:exact_name (Crimean Gothic)
wikt_gmw-ecg,stan1295,auto:exact_name (German)
wikt_gmw-rfr,stan1295,auto:exact_name (German)
wikt_gsw-FR-als,stan1295,auto:exact_name (German)
wikt_inc-kho,khol1241,auto:exact_name (Kholosi)
wikt_kca-sou,sout3226,auto:exact_name (Southern Khanty)
wikt_la-med,lati1261,auto:exact_name (Latin)
wikt_mis-jzh,jizh1234,auto:exact_name (Jizhao)
wikt_mis-kas,kass1244,auto:exact_name (Kassite)
wikt_mis-tnw,tang1373,auto:exact_name (Tangwang)
wikt_mjg-mgl,huzh1238,auto:exact_name (Mongghul)
wikt_mjg-mgr,minh1238,auto:exact_name (Mangghuer)
wikt_mns-cen,cent2322,auto:exact_name (Central Mansi)
wikt_mns-nor,mans1258,auto:exact_name (Northern Mansi)
wikt_nai-cal,calu1239,auto:exact_name (Calusa)
wikt_nai-ipa,ipai1240,auto:exact_name (Ipai)
wikt_nai-kat,kath1253,auto:exact_name (Kathlamet)
wikt_nai-knm,kono1241,auto:exact_name (Konomihu)
wikt_nai-okw,okwa1235,auto:exact_name (Okwanuchu)
wikt_nai-per,peri1250,auto:exact_name (Pericú)
wikt_nai-tap,tapa1260,auto:exact_name (Tapachultec)
wikt_nai-wji,west2777,auto:exact_name (Western Jicaque)
wikt_ne,nepa1254,auto:exact_name (Nepali)
wikt_okz,oldk1249,auto:exact_name (Old Khmer)
wikt_or,oriy1255,auto:exact_name (Odia)
wikt_sai-and,ando1254,auto:exact_name (Andoquero)
wikt_sai-bag,bagu1249,auto:exact_name (Bagua)
wikt_sai-chn,chan1296,auto:exact_name (Chaná)
wikt_sai-cul,cull1235,auto:exact_name (Culli)
wikt_sai-mar,mara1266,auto:exact_name (Maratino)
wikt_sai-men,meni1247,auto:exact_name (Menien)
wikt_sai-oto,otom1301,auto:exact_name (Otomaco)
wikt_sai-san,sana1301,auto:exact_name (Sanaviron)
wikt_sai-tpr,tapa1262,auto:exact_name (Taparita)
wikt_sai-way,wayu1242,auto:exact_name (Wayumara)
wikt_sai-yao,yaoo1241,auto:base_name (Yao (South America) -> base)
wikt_sai-yup,jupu1235,auto:exact_name (Yupua)
wikt_sai-yur,yuru1243,auto:exact_name (Yurumanguí)
wikt_sit-cai,caij1234,auto:exact_name (Caijia)
wikt_sit-cha,chai1254,auto:exact_name (Chairel)
