Grapheme	IPA	notes
sce	ʃ e	ʃ
sci	ʃ i	
scé	ʃ e	
scì	ʃ i	
ce	t̠ʃ e	c soft
ch	k	k (blocks softening / word-final)
ci	t̠ʃ i	c soft
cé	t̠ʃ e	
cì	t̠ʃ i	
ge	d̠ʒ e	g soft
gh	ɡ	ɡ
gi	d̠ʒ i	
gn	ɲ	ɲ
gé	d̠ʒ e	
gì	d̠ʒ i	
a	a	
b	b	
c	k	
d	d	
e	e	
f	f	
g	ɡ	
h	h	
i	i	
j	j	approximant? — FLAG
l	l	
m	m	
n	n	
o	o	
p	p	
r	r	
s	s	
t	t	
u	u	
v	v	
z	ts	ts? — FLAG
é	e	
ì	i	
ò	ɔ	
≠		
