Grapheme	IPA	notes
a	a	
b	b	
d	d	
e	e	
f	f	
g	ɡ	
h	h	
k	k	
l	l	
m	m	
n	n	
o	o	
p	p	
r	r	
s	s	
t	t	
w	w	
x	x	
y	j	
z	z	
ā	aː	
č	t̠ʃ	affricate
ē	eː	
ī	iː	
ō	oː	
š	ʃ	
ū	uː	
ǰ	d̠ʒ	affricate
ḍ	ɖ	retroflex
ṭ	ʈ	retroflex
