Grapheme	IPA	notes
aⁿ	ã	
bʰ	bʱ	breathy
cʰ	t̠ʃʰ	
dʰ	dʱ	breathy
gʰ	ɡʱ	breathy
iⁿ	ĩ	
jʰ	d̠ʒʱ	breathy
kʰ	kʰ	
nʰ	nʱ	breathy
pʰ	pʰ	
tʰ	tʰ	
uⁿ	ũ	
āⁿ	ãː	
īⁿ	ĩː	
ūⁿ	ũː	
ḍʰ	ɖʱ	breathy
ṛʰ	ɽʱ	breathy
ṭʰ	ʈʰ	
,		
a	a	
b	b	
c	t̠ʃ	IAST affricate
d	d	
e	e	
f	f	
g	ɡ	
h	h	
i	i	
j	d̠ʒ	IAST affricate
k	k	
l	l	
m	m	
n	n	
o	o	
p	p	
r	r	
s	s	
t	t	
u	u	
v	ʋ	approximant
ā	aː	
ī	iː	
š	ʃ	
ū	uː	
ḍ	ɖ	
ṇ	ɳ	
ṛ	ɽ	retroflex flap
ṭ	ʈ	
