Grapheme	IPA	notes
ce	ts e	
ch	t̠ʃ	
ci	ts i	
ge	d̠ʒ e	
gi	d̠ʒ i	
gn	ɲ	
,		
a	a	
b	b	
c	k	
d	d	
e	e	
f	f	
g	ɡ	
h	h	
i	i	
j	d̠ʒ	
l	l	
m	m	
n	n	
o	o	
p	p	
q	k	
r	r	
s	s	
t	t	
u	u	→y (OFr, FLAG)
v	v	
ç	ts	ts
ò	ɔ	
≠		
