Concepticon_ID,source_form_id,Value,Form,Segments,Comment,notes
,iecor_230-31-1,,,k əɪ,,IPA from Wiktionary (kw)
,iecor_230-32-1,,,ɛː v ə,,IPA from Wiktionary (kw)
,iecor_230-97-1,,,h iː r,,IPA from Wiktionary (kw)
,iecor_230-105-1,,,ɡ a n ɔʊ,,IPA from Wiktionary (kw); partial-segmentation (FLAG)
,iecor_230-152-1,,,ɛ r,,IPA from Wiktionary (kw)
,iecor_230-93-1,,,ɡ a rː,,IPA from Wiktionary (kw); partial-segmentation (FLAG)
,iecor_230-167-1,,,l ɔ s t,,IPA from Wiktionary (kw)
