Grapheme	IPA	notes
dzh	d̠ʒ	affricate
aw	a w	
ay	a j	
ch	t̠ʃ	affricate
ck	k	
dh	ð	/ð/
dz	dz	
eu	ɛ w	
ew	ɛ w	
ey	ɛ j	
gh	x	/x/ (FLAG)
gw	ɡ w	
hw	ʍ	/ʍ/
ow	ɔ w	
oy	ɔ j	
th	θ	/θ/
uy	y j	
wh	ʍ	
,		
-		
.		
a	a	
b	b	
c	k	
d	d	
e	ɛ	/ɛ/? (FLAG)
f	f	
g	ɡ	
h	h	
i	i	
j	d̠ʒ	
k	k	
l	l	
m	m	
n	n	
o	ɔ	
p	p	
r	r	
s	s	
t	t	
u	y	/y/? (FLAG)
v	v	
w	w	
y	ɪ	/ɪ/ vowel (FLAG)
z	z	
â	aː	long (FLAG)
ê	eː	
î	iː	
ô	oː	
û	uː	
è	ɛ	
