Grapheme	IPA	notes
a	a	
b	b	
c	t̠ʃ	affricate (FLAG)
d	d	
e	e	
f	f	
h	h	
i	i	
j	d̠ʒ	
k	k	
l	l	
m	m	
n	n	
p	p	
r	r	
s	s	
t	t	
u	u	
w	w	
x	x	
y	j	
z	z	
ā	aː	
č	t̠ʃ	
ē	eː	
ī	iː	
ō	oː	
š	ʃ	
ū	uː	
ž	ʒ	
ǝ	ə	
β	β	fricative
γ	ɣ	fricative
δ	ð	fricative
ϑ	θ	θ
