Grapheme	IPA	notes
a̯	a	non-syllabic a -> a (phoible lacks a̯)
e̯	e̯	
i̯	i̯	
o̯	o̯	
u̯	u̯	
,		
a	a	
b	b	
d	d	
e	e	
f	f	
g	ɡ	
i	i	
j	j	
k	k	
l	l	
m	m	
n	n	
o	o	
p	p	
r	r	
s	s	
t	t	
u	u	
v	v	
z	z	
á	a	
é	e	
í	i	
ó	o	
ú	u	
č	t̠ʃ	
ż	dz	dz? — FLAG
ˊ		
ṅ	ŋ	velar nasal
ọ	ɔ	open o
