Grapheme	IPA	notes
ce	ts e	
ch	t̠ʃ	
ci	ts i	
cí	ts i	
ge	d̠ʒ e	
gi	d̠ʒ i	
gn	ɲ	
gí	d̠ʒ i	
(		
)		
,		
a	a	
b	b	
c	k	
d	d	
e	e	
f	f	
g	ɡ	
h	h	
i	i	
j	ʃ	
l	l	
m	m	
n	n	
o	o	
p	p	
q	k	
r	r	
s	s	
t	t	
u	u	→y (OFr, FLAG)
v	v	
x	ʃ	→ʃ (OSpanish, FLAG)
y	j	
z	ts	ts
ç	ts	ts
í	i	
ó	o	
≠		
