Grapheme	IPA	notes
a	a	
b	b	
c	t̠ʃ	affricate (FLAG)
d	d	
f	f	
g	ɡ	
h	h	
i	i	
j	d̠ʒ	
k	k	
m	m	
n	n	
p	p	
r	r	
s	s	
t	t	
u	u	
v	v	
x	x	
y	j	
z	z	
ā	aː	
ī	iː	
š	ʃ	
ū	uː	
ϑ	θ	θ
ṛ	r̩	syllabic r (FLAG)
