Grapheme	IPA	notes
ch	t̠ʃ	affricate
dh	ð	voiced dental fric
dz	dz	affricate
ee	iː	long i — FLAG
kh	x	x (no plain x)
oo	uː	long u — FLAG
qh	χ	χ — FLAG
sh	ʃ	
ts	ts	
zh	ʒ	
G	ɢ	uvular stop
a	a	
b	b	
c	ts	ts? (no č in inventory) — FLAG
d	d	
e	e	
f	f	
g	ɡ	
h	h	
i	i	
j	d̠ʒ	
k	k	
l	l	
m	m	
n	n	
o	o	
p	p	
q	q	
r	r	
s	s	
t	t	
u	u	
v	v	
w	w	
y	j	
z	z	
’	ʔ	
