Grapheme	IPA	notes
x̌	χ	uvular χ — FLAG
č̣	ʈʂ	retroflex affricate ʈʂ — FLAG
ɣ̌	ʁ	uvular ʁ — FLAG
ṣ̌	ʂ	retroflex ʂ — FLAG
ẓ̌	ʐ	retroflex ʐ — FLAG
(		
)		
,		
-	+	
/		variant sep — drop
a	a	
b	b	
c	ts	ts? — FLAG
d	d	
e	e	
f	f	
g	ɡ	
h	h	
i	i	
j	d̠ʒ	
k	k	
l	l	
m	m	
n	n	
o	o	
p	p	
q	q	
r	r	
s	s	
t	t	
u	u	
v	v	
w	w	
x	x	
y	j	
z	z	
á	a	stressed a — drop accent
ð	ð	
č	t̠ʃ	
š	ʃ	
ǝ	ə	
ǰ	d̠ʒ	
ə	ə	
ɣ	ɣ	
ʉ	ʉ	
ʒ	ʒ	
δ	ð	
θ	θ	
ṣ	ʂ	
ṭ	ʈ	retroflex
ẓ	ʐ	
