Grapheme	IPA	notes
u̯	w	
(		
)		
*		
,		
-		
/		
a	a	
d	d	
e	e	
g	ɡ	
i	i	
k	k	
l	l	
m	m	
n	n	
p	p	
r	r	
t	t	
u	u	→y (OFr, FLAG)
ā	aː	
ē	eː	
ī	iː	
š	s	→s (cuneiform convention, FLAG)
ū	uː	
ḫ	x	→x (FLAG)
≠		
i̯	j	non-syllabic i
