Grapheme	IPA	notes
(		
)		
,		
-		
/		
I	iː	long i? (FLAG)
a	a	
b	b	
c	k	
d	d	
e	e	
g	ɡ	
i	i	
k	k	
l	l	
m	m	
n	n	
o	o	
p	p	
r	r	
s	s	
t	t	
u	u	→y (OFr, FLAG)
x	x	→ʃ (OSpanish, FLAG)
ā	aː	
đ	ts	tau gallicum →ts (FLAG)
