Grapheme	IPA	notes
i̯	j	
u̯	w	
(		
)		
*		
,		
-		
/		
?		
a	a	
d	d	
h	h	
i	i	
k	k	
l	l	
m	m	
n	n	
p	p	
r	r	
s	s	
t	t	
u	u	→y (OFr, FLAG)
w	w	
y	j	
z	ts	ts
á	a	
ā	aː	
ī	iː	
š	s	→s (cuneiform convention, FLAG)
ū	uː	
ḫ	x	→x (FLAG)
