Concepticon_ID,source_form_id,Value,Form,Segments,Comment,notes
,iecor_24-4-1,,,ɑ s,,IPA from Wiktionary (nl)
,iecor_24-6-1,,,r ʏ x,,IPA from Wiktionary (nl)
,iecor_24-7-1,,,s l ɛ x t,,IPA from Wiktionary (nl)
,iecor_24-8-1,,,b ɑ s t,,IPA from Wiktionary (nl)
,iecor_24-10-1,,,b œy ̯ k,,IPA from Wiktionary (nl); partial-segmentation (FLAG)
,iecor_24-11-1,,,ɣ r oː t,,IPA from Wiktionary (nl)
,iecor_24-12-1,,,v oː ɣ ə l,,IPA from Wiktionary (nl)
,iecor_24-14-1,,,z ʋ ɑ r t,,IPA from Wiktionary (nl)
,iecor_24-15-1,,,b l u t,,IPA from Wiktionary (nl)
,iecor_24-17-1,,,b eː n,,IPA from Wiktionary (nl)
,iecor_24-19-1,,,aː d ə m ə n,,IPA from Wiktionary (nl)
,iecor_24-20-1,,,v ə r b r ɑ n d ə n,,IPA from Wiktionary (nl)
,iecor_24-22-1,,,ʋ ɔ l k,,IPA from Wiktionary (nl)
,iecor_24-23-1,,,k ɑu̯ t,,IPA from Wiktionary (nl)
,iecor_24-24-1,,,k oː m ə n,,IPA from Wiktionary (nl)
,iecor_24-25-1,,,t ɛ l ə n,,IPA from Wiktionary (nl)
,iecor_24-27-1,,,d ɑ x,,IPA from Wiktionary (nl)
,iecor_24-28-1,,,s t ɛ r v ə n,,IPA from Wiktionary (nl)
,iecor_24-29-1,,,ɣ r aː v ə n,,IPA from Wiktionary (nl)
,iecor_24-30-1,,,v i s,,IPA from Wiktionary (nl)
,iecor_24-31-1,,,ɦ ɔ n t,,IPA from Wiktionary (nl)
,iecor_24-32-1,,,d r ɪ ŋ k ə n,,IPA from Wiktionary (nl)
,iecor_24-33-1,,,d r oː x,,IPA from Wiktionary (nl)
,iecor_24-35-1,,,s t ɔ f,,IPA from Wiktionary (nl)
,iecor_24-36-1,,,oː r,,IPA from Wiktionary (nl)
,iecor_24-38-1,,,eː t ə n,,IPA from Wiktionary (nl)
,iecor_24-39-1,,,ɛi̯,,IPA from Wiktionary (nl)
,iecor_24-40-1,,,oː x,,IPA from Wiktionary (nl)
,iecor_24-41-1,,,v ɑ l ə n,,IPA from Wiktionary (nl)
,iecor_24-42-1,,,v ɛ r,,IPA from Wiktionary (nl)
,iecor_24-45-1,,,v r eː z ə n,,IPA from Wiktionary (nl)
,iecor_24-48-1,,,v ɛ x t ə n,,IPA from Wiktionary (nl)
,iecor_24-55-1,,,b l u m,,IPA from Wiktionary (nl)
,iecor_24-56-1,,,v l i ɣ ə n,,IPA from Wiktionary (nl)
,iecor_24-57-1,,,m ɪ s t,,IPA from Wiktionary (nl)
,iecor_24-58-1,,,v u t,,IPA from Wiktionary (nl)
,iecor_24-59-1,,,v i r,,IPA from Wiktionary (nl)
,iecor_24-60-1,,,b ə v r i z ə n,,IPA from Wiktionary (nl)
,iecor_24-61-1,,,v r ʏ x t,,IPA from Wiktionary (nl)
,iecor_24-63-1,,,ɣ eː v ə n,,IPA from Wiktionary (nl)
,iecor_24-64-1,,,ɣ u t,,IPA from Wiktionary (nl)
,iecor_24-65-1,,,ɣ r ɑ s,,IPA from Wiktionary (nl)
,iecor_24-66-1,,,ɣ r u n,,IPA from Wiktionary (nl)
,iecor_24-69-1,,,ɦ ɑ n t,,IPA from Wiktionary (nl)
,iecor_24-71-1,,,ɦ oː f t,,IPA from Wiktionary (nl)
,iecor_24-73-1,,,ɦ ɑ r t,,IPA from Wiktionary (nl)
,iecor_24-74-1,,,z ʋ aː r,,IPA from Wiktionary (nl)
,iecor_24-80-1,,,j aː ɣ ə n,,IPA from Wiktionary (nl)
,iecor_24-88-1,,,ʋ eː t ə n,,IPA from Wiktionary (nl)
,iecor_24-89-1,,,m eː r,,IPA from Wiktionary (nl)
,iecor_24-90-1,,,l ɑ x ə n,,IPA from Wiktionary (nl)
,iecor_24-91-1,,,b l ɑ t,,IPA from Wiktionary (nl)
,iecor_24-93-1,,,b eː n,,IPA from Wiktionary (nl)
,iecor_24-95-1,,,l eː v ə n,,IPA from Wiktionary (nl)
,iecor_24-96-1,,,l eː v ə r,,IPA from Wiktionary (nl)
,iecor_24-97-1,,,l ɑ ŋ,,IPA from Wiktionary (nl)
,iecor_24-98-1,,,l œy ̯ s,,IPA from Wiktionary (nl); partial-segmentation (FLAG)
,iecor_24-99-1,,,m ɑ n,,IPA from Wiktionary (nl)
,iecor_24-101-1,,,v l eː s,,IPA from Wiktionary (nl)
,iecor_24-104-1,,,b ɛ r x,,IPA from Wiktionary (nl)
,iecor_24-105-1,,,m ɔ n t,,IPA from Wiktionary (nl)
,iecor_24-109-1,,,ɦ ɑ l s,,IPA from Wiktionary (nl)
,iecor_24-110-1,,,n iu̯,,IPA from Wiktionary (nl)
,iecor_24-111-1,,,n ɑ x t,,IPA from Wiktionary (nl)
,iecor_24-112-1,,,n øː s,,IPA from Wiktionary (nl)
,iecor_24-114-1,,,ɑu̯ t,,IPA from Wiktionary (nl)
,iecor_24-115-1,,,ə n,,IPA from Wiktionary (nl)
,iecor_24-118-1,,,s p eː l ə n,,IPA from Wiktionary (nl)
,iecor_24-119-1,,,t r ɛ k ə n,,IPA from Wiktionary (nl)
,iecor_24-120-1,,,d yu̯ ə n,,IPA from Wiktionary (nl)
,iecor_24-121-1,,,r eː ɣ ə n,,IPA from Wiktionary (nl)
,iecor_24-122-1,,,r oː t,,IPA from Wiktionary (nl)
,iecor_24-125-1,,,r i v iː r,,IPA from Wiktionary (nl)
,iecor_24-127-1,,,ʋ ɔ r t ə l,,IPA from Wiktionary (nl)
,iecor_24-132-1,,,z ɑu̯ t,,IPA from Wiktionary (nl)
,iecor_24-133-1,,,z ɑ n t,,IPA from Wiktionary (nl)
,iecor_24-134-1,,,z ɛ ɣ ə n,,IPA from Wiktionary (nl)
,iecor_24-136-1,,,z eː,,IPA from Wiktionary (nl)
,iecor_24-137-1,,,z i n,,IPA from Wiktionary (nl)
,iecor_24-140-1,,,s x ɛ r p,,IPA from Wiktionary (nl)
,iecor_24-141-1,,,k ɔ r t,,IPA from Wiktionary (nl)
,iecor_24-142-1,,,z ɪ ŋ ə n,,IPA from Wiktionary (nl)
,iecor_24-143-1,,,z ɪ t ə n,,IPA from Wiktionary (nl)
,iecor_24-144-1,,,ɦ œy ̯ t,,IPA from Wiktionary (nl); partial-segmentation (FLAG)
,iecor_24-145-1,,,ɦ eː m ə l,,IPA from Wiktionary (nl)
,iecor_24-146-1,,,s l aː p ə n,,IPA from Wiktionary (nl)
,iecor_24-147-1,,,k l ɛi̯ n,,IPA from Wiktionary (nl)
,iecor_24-148-1,,,r œy ̯ k ə n,,IPA from Wiktionary (nl); partial-segmentation (FLAG)
,iecor_24-149-1,,,r oː k,,IPA from Wiktionary (nl)
