Concepticon_ID,source_form_id,Value,Form,Segments,Comment,notes
,iecor_24-150-1,,,ɣ l ɑ t,,IPA from Wiktionary (nl)
,iecor_24-151-1,,,s l ɑ ŋ,,IPA from Wiktionary (nl)
,iecor_24-152-1,,,s n eː u̯,,IPA from Wiktionary (nl)
,iecor_24-159-1,,,s t ɛ r,,IPA from Wiktionary (nl)
,iecor_24-160-1,,,s t ɔ k,,IPA from Wiktionary (nl)
,iecor_24-161-1,,,s t eː n,,IPA from Wiktionary (nl)
,iecor_24-162-1,,,r ɛ x t,,IPA from Wiktionary (nl)
,iecor_24-164-1,,,z ɔ n,,IPA from Wiktionary (nl)
,iecor_24-166-1,,,z ʋ ɛ m ə n,,IPA from Wiktionary (nl)
,iecor_24-171-1,,,d ɪ k,,IPA from Wiktionary (nl)
,iecor_24-173-1,,,d ɛ ŋ k ə n,,IPA from Wiktionary (nl)
,iecor_24-176-1,,,d r i,,IPA from Wiktionary (nl)
,iecor_24-177-1,,,ʋ ɛ r p ə n,,IPA from Wiktionary (nl)
,iecor_24-178-1,,,b ɪ n d ə n,,IPA from Wiktionary (nl)
,iecor_24-179-1,,,t ɔ ŋ,,IPA from Wiktionary (nl)
,iecor_24-180-1,,,t ɑ n t,,IPA from Wiktionary (nl)
,iecor_24-181-1,,,b oː m,,IPA from Wiktionary (nl)
,iecor_24-183-1,,,t ʋ eː,,IPA from Wiktionary (nl)
,iecor_24-184-1,,,b r aː k ə n,,IPA from Wiktionary (nl)
,iecor_24-186-1,,,ʋ ɑ r ə m,,IPA from Wiktionary (nl)
,iecor_24-188-1,,,ʋ aː t ə r,,IPA from Wiktionary (nl)
,iecor_24-190-1,,,n ɑ t,,IPA from Wiktionary (nl)
,iecor_24-194-1,,,ʋ ɪ t,,IPA from Wiktionary (nl)
,iecor_24-198-1,,,ʋ ɪ n t,,IPA from Wiktionary (nl)
,iecor_24-199-1,,,v l øː ɣ ə l,,IPA from Wiktionary (nl)
,iecor_24-202-1,,,v r ɑu̯,,IPA from Wiktionary (nl)
,iecor_24-204-1,,,ʋ ɔ r m,,IPA from Wiktionary (nl)
,iecor_24-207-1,,,ɣ eː l,,IPA from Wiktionary (nl)
,iecor_24-50-1,,,b r ɑ n t,,IPA from Wiktionary (nl)
,iecor_24-76-1,,,t r ɛ f ə n,,IPA from Wiktionary (nl)
,iecor_24-203-1,,,ʋ ɑu̯ t,,IPA from Wiktionary (nl)
,iecor_24-208-1,,,m i r,,IPA from Wiktionary (nl)
,iecor_24-215-1,,,b ɪ t ə r,,IPA from Wiktionary (nl)
,iecor_24-220-1,,,d r aː ɣ ə n,,IPA from Wiktionary (nl)
,iecor_24-18-1,,,b ɔ r s t,,IPA from Wiktionary (nl)
,iecor_24-223-1,,,ɦ œy ̯ l ə n,,IPA from Wiktionary (nl); partial-segmentation (FLAG)
,iecor_24-224-1,,,d u n,,IPA from Wiktionary (nl)
,iecor_24-226-1,,,k l ɑu̯,,IPA from Wiktionary (nl)
,iecor_24-46-1,,,p l œy ̯ m,,IPA from Wiktionary (nl); partial-segmentation (FLAG)
,iecor_24-211-1,,,v l i x,,IPA from Wiktionary (nl)
,iecor_24-62-1,,,v ɔ l,,IPA from Wiktionary (nl)
,iecor_24-218-1,,,x aː n,,IPA from Wiktionary (nl)
,iecor_24-225-1,,,f ɛi̯ n m aː l ə n,,IPA from Wiktionary (nl)
,iecor_24-216-1,,,ɦ ɑ r t,,IPA from Wiktionary (nl)
,iecor_24-78-1,,,ɦ oː r n,,IPA from Wiktionary (nl)
,iecor_24-214-1,,,ɦ œy ̯ s,,IPA from Wiktionary (nl); partial-segmentation (FLAG)
,iecor_24-87-1,,,k n i,,IPA from Wiktionary (nl)
,iecor_24-102-1,,,m aː n,,IPA from Wiktionary (nl)
,iecor_24-49-1,,,n aː ɣ ə l,,IPA from Wiktionary (nl)
,iecor_24-210-1,,,n aː v ə l,,IPA from Wiktionary (nl)
,iecor_24-130-1,,,r ɔ n t,,IPA from Wiktionary (nl)
,iecor_24-219-1,,,l oː p ə n,,IPA from Wiktionary (nl)
,iecor_24-213-1,,,s x aː d yu̯,,IPA from Wiktionary (nl)
,iecor_24-217-1,,,z u t,,IPA from Wiktionary (nl)
,iecor_24-221-1,,,n eː m ə n,,IPA from Wiktionary (nl)
,iecor_24-209-1,,,d ɛi̯,,IPA from Wiktionary (nl)
,iecor_24-212-1,,,ɣ ɪ s t ə r ə n,,IPA from Wiktionary (nl)
