Grapheme	IPA	notes
a	a	
b	b	
d	d	
e	e	
f	f	
g	ɡ	
i	i	
k	k	
l	l	
m	m	
n	n	
o	o	
p	p	
r	r	
s	s	
t	t	
u	u	
x	x	
y	j	
z	z	
ē	eː	
ō	oː	
š	ʃ	
ʿ	ʕ	ayin
γ	ɣ	fricative
