Grapheme	IPA	notes
(		drop
)		drop
-	+	morpheme boundary
a	a	
b	b	
d	d	
e	e	
f	f	
g	ɡ	
h	h	
i	i	
j	d̠ʒ	affricate
k	k	
l	l	
m	m	
n	n	
o	o	
p	p	
q	q	
r	ɾ	trill
s	s	
t	t	
u	u	
w	w	
x	x	
y	j	
z	z	
ø	ø	
ü	y	front rounded
ā	aː	long
č	t̠ʃ	affricate
ē	eː	long
ī	iː	long
ŋ	ŋ	velar nasal
š	ʃ	
ū	uː	long
ž	ʒ	
ɨ	ɨ	
ḷ	ɫ	velarized l
ṛ	r	trill (vs r tap)
