Grapheme	IPA	notes
(		
)		
*		
,		
-		
/		
?		
a	a	
b	b	
c	k	
d	d	
e	e	
f	f	
g	ɡ	
h	h	
i	i	
l	l	
m	m	
n	n	
o	o	
p	p	
r	r	
s	s	
t	t	
u	u	→y (OFr, FLAG)
v	v	
≠		
