Grapheme	IPA	notes
d͡ʒ	d̠ʒ	tie-bar -> phoible
t͡ʃ	t̠ʃ	tie-bar -> phoible
æ:	æː	long (ascii colon)
a	a	
b	b	
d	d	
e	e	
f	f	
g	ɡ	
h	h	
i	i	
j	j	IPA palatal approx
k	k	
l	l	
m	m	
n	n	
o	o	
p	p	
r	r	
s	s	
t	t	
u	u	
v	v	
w	w	
y	y	IPA front rounded vowel
z	z	
æ	æ	
ɒ	ɒ	
ɣ	ɣ	
ʃ	ʃ	
ʒ	ʒ	
χ	χ	
