Grapheme	IPA	notes
t̰	t	→t (drop diacritic)
xʷ	xʷ	
ŋ́	ɲ	palatal nasal (FLAG)
-		
.		
a	a	
b	b	
c	t̠ʃ	affricate (FLAG)
d	d	
e	e	
f	f	
g	ɡ	
h	h	
i	i	
j	d̠ʒ	
k	k	
m	m	
n	n	
o	o	
p	p	
r	r	
s	s	
t	t	
u	u	
v	v	
x	x	
y	j	
z	z	
°		
ā	aː	
ą	ã	nasal
ē	eː	
ī	iː	
ń	ɲ	
ŋ	ŋ	
š	ʃ	
ū	uː	
ž	ʒ	
ǝ	ə	
ə	ə	
β	β	fricative
γ	ɣ	fricative
δ	ð	fricative
ϑ	θ	θ
ṇ	ɳ	
