Grapheme	IPA	notes
m̆b	m b	prenasalized->nasal+stop
n̆d	n d	
n̆g	ŋ ɡ	
n̆ḍ	ɳ ɖ	
(		
)		
/		
a	a	
b	b	
d	d	
e	e	
g	ɡ	
h	h	
i	i	
j	d̠ʒ	
k	k	
l	l	
m	m	
n	n	
o	o	
p	p	
r	r	
s	s	
t	t	
u	u	
v	ʋ	approximant
y	j	
æ	æ	
ā	aː	
ē	eː	
ī	iː	
ō	oː	
ū	uː	
ǣ	æː	
ḍ	ɖ	
ḷ	ɭ	
ṁ	ŋ	anusvara->ŋ (flag)
ṅ	ŋ	velar nasal
ṇ	ɳ	
ṭ	ʈ	
