Grapheme	IPA	notes
a	a	
b	b	
d	d	
f	f	
g	ɡ	
h	h	
j	d̠ʒ	affricate
k	k	
l	l	
m	m	
n	n	
p	p	
q	q	
r	ɾ	trill
s	s	
t	t	
w	w	
x	x	
y	j	
z	z	
ü	y	front rounded
ā	aː	long
č	t̠ʃ	affricate
ē	eː	long
ī	iː	long
ı	ɪ	short high
ŋ	ŋ	velar nasal
š	ʃ	
ū	uː	long
ž	ʒ	
ḷ	ɫ	velarized l
ṛ	r	trill (vs r tap)
≠		marker — drop (flag)
