Grapheme	IPA	notes
*		
-		
a	a	
b	b	
d	d	
e	e	
f	f	
h	h	
i	i	
k	k	
l	l	
m	m	
n	n	
o	o	
p	p	
r	r	
s	s	
t	t	
u	u	
v	w	
ç	ts	ts (FLAG)
ř	ɾ	Umbrian rhotic (FLAG)
š	ʃ	
c	k	/k/
z	ts	/ts/
